data,time,timesplit,weekday,price_date,all_return,c_return
"[{'query': '統一FANG+', 'score': 10, 'category': 'stock'}, {'query': '超眾', 'score': 8, 'category': 'stock', 'num': '6230', 'open': 224, 'close': 225, 'change': 6, 'change_rate': 2.74, 'change_rate_new': 0.0274}, {'query': '神盾', 'score': 8, 'category': 'stock', 'num': '6462', 'open': 142, 'close': 142.5, 'change': 8.5, 'change_rate': 6.34, 'change_rate_new': 0.0634}, {'query': '毛寶', 'score': 8, 'category': 'stock', 'num': '4713', 'open': 30.7, 'close': 29.8, 'change': -0.3, 'change_rate': -1, 'change_rate_new': -0.01}]",2020-03-23T23:01:52.436Z,2020-03-23,0,2020-03-24,0.026933333333333333,0.026933333333333333
"[{'query': '統一FANG+', 'score': 9.75, 'category': 'stock'}, {'query': '昇達科', 'score': 8.25, 'category': 'stock', 'num': '3491', 'open': 65.5, 'close': 66, 'change': 2.6, 'change_rate': 4.1, 'change_rate_new': 0.040999999999999995}, {'query': '毛寶', 'score': 8, 'category': 'stock', 'num': '4713', 'open': 30.3, 'close': 29.4, 'change': -0.4, 'change_rate': -1.34, 'change_rate_new': -0.0134}, {'query': '街口S&P布蘭特正2', 'score': 6.75, 'category': 'stock'}]",2020-03-24T23:03:09.777Z,2020-03-24,1,2020-03-25,0.013799999999999996,0.04110501333333327
"[{'query': '統一FANG+', 'score': 9.25, 'category': 'stock'}, {'query': '街口S&P布蘭特正2', 'score': 9.25, 'category': 'stock'}, {'query': '復盛應用', 'score': 7.25, 'category': 'stock'}, {'query': '超眾', 'score': 5.5, 'category': 'stock', 'num': '6230', 'open': 221, 'close': 228.5, 'change': 8.5, 'change_rate': 3.86, 'change_rate_new': 0.038599999999999995}]",2020-03-25T23:03:20.135Z,2020-03-25,2,2020-03-26,0.038599999999999995,0.08129166684799993
"[{'query': '街口S&P布蘭特正2', 'score': 10, 'category': 'stock'}, {'query': '統一FANG+', 'score': 9, 'category': 'stock'}, {'query': '元大台灣50正2', 'score': 7, 'category': 'stock'}, {'query': '復盛應用', 'score': 6.75, 'category': 'stock'}]",2020-03-26T23:03:54.710Z,2020-03-26,3,2020-03-27,0.0,0.08129166684799993
"[{'query': '健亞', 'score': 9.75, 'category': 'stock', 'num': '4130', 'open': 29, 'close': 30.6, 'change': 1.75, 'change_rate': 6.07, 'change_rate_new': 0.060700000000000004}, {'query': '元大台灣50正2', 'score': 8, 'category': 'stock'}, {'query': '旭富', 'score': 7, 'category': 'stock', 'num': '4119', 'open': 134, 'close': 136, 'change': 4, 'change_rate': 3.03, 'change_rate_new': 0.030299999999999997}, {'query': '和碩', 'score': 7, 'category': 'stock', 'num': '4938', 'open': 58.5, 'close': 59.3, 'change': -0.8, 'change_rate': -1.33, 'change_rate_new': -0.013300000000000001}]",2020-03-29T23:02:03.327Z,2020-03-29,6,2020-03-30,0.025899999999999996,0.10929712101936317
"[{'query': '宏碁', 'score': 9, 'category': 'stock', 'num': '2353', 'open': 16.2, 'close': 15.6, 'change': -0.6, 'change_rate': -3.7, 'change_rate_new': -0.037000000000000005}, {'query': '健亞', 'score': 7.5, 'category': 'stock', 'num': '4130', 'open': 29.5, 'close': 28.6, 'change': -2, 'change_rate': -6.54, 'change_rate_new': -0.0654}, {'query': '緯創', 'score': 7.25, 'category': 'stock', 'num': '3231', 'open': 24.05, 'close': 24.5, 'change': 0.65, 'change_rate': 2.73, 'change_rate_new': 0.0273}, {'query': '元大台灣50正2', 'score': 6.75, 'category': 'stock'}]",2020-03-30T23:02:02.049Z,2020-03-30,0,2020-03-31,-0.025033333333333335,0.08152771642317846
"[{'query': '王品', 'score': 9.75, 'category': 'stock', 'num': '2727', 'open': 62.8, 'close': 61, 'change': -2.9, 'change_rate': -4.54, 'change_rate_new': -0.0454}, {'query': '宏碁', 'score': 9.25, 'category': 'stock', 'num': '2353', 'open': 15.75, 'close': 15.65, 'change': 0.05, 'change_rate': 0.32, 'change_rate_new': 0.0032}, {'query': '健亞', 'score': 6.25, 'category': 'stock', 'num': '4130', 'open': 29, 'close': 29.65, 'change': 1.05, 'change_rate': 3.67, 'change_rate_new': 0.036699999999999997}, {'query': '技嘉', 'score': 6.25, 'category': 'stock', 'num': '2376', 'open': 50.9, 'close': 52.5, 'change': 1.5, 'change_rate': 2.94, 'change_rate_new': 0.0294}]",2020-03-31T23:01:51.410Z,2020-03-31,1,2020-04-01,0.0059749999999999985,0.08798984452880698
"[{'query': '潤泰新', 'score': 10, 'category': 'stock', 'num': '9945', 'open': 42.5, 'close': 41.95, 'change': -0.05, 'change_rate': -0.12, 'change_rate_new': -0.0012}, {'query': '立積', 'score': 8, 'category': 'stock', 'num': '4968', 'open': 133.5, 'close': 138, 'change': 8.5, 'change_rate': 6.56, 'change_rate_new': 0.06559999999999999}, {'query': '裕隆', 'score': 8, 'category': 'stock', 'num': '2201', 'open': 14.95, 'close': 15.55, 'change': 0.7, 'change_rate': 4.71, 'change_rate_new': 0.0471}, {'query': '王品', 'score': 7.5, 'category': 'stock', 'num': '2727', 'open': 61, 'close': 60, 'change': -1, 'change_rate': -1.64, 'change_rate_new': -0.016399999999999998}]",2020-04-05T23:02:11.867Z,2020-04-05,6,2020-04-06,0.023774999999999998,0.11385680308247959
"[{'query': '正崴', 'score': 9.25, 'category': 'stock', 'num': '2392', 'open': 34.2, 'close': 34.9, 'change': 2.15, 'change_rate': 6.56, 'change_rate_new': 0.06559999999999999}, {'query': '松翰', 'score': 8.25, 'category': 'stock', 'num': '5471', 'open': 44.95, 'close': 43.5, 'change': -0.2, 'change_rate': -0.46, 'change_rate_new': -0.0046}, {'query': '瑞儀', 'score': 7.5, 'category': 'stock', 'num': '6176', 'open': 81.2, 'close': 84.4, 'change': 4.7, 'change_rate': 5.9, 'change_rate_new': 0.059000000000000004}, {'query': '潤泰新', 'score': 7, 'category': 'stock', 'num': '9945', 'open': 42, 'close': 41.3, 'change': -0.65, 'change_rate': -1.55, 'change_rate_new': -0.0155}]",2020-04-06T23:01:30.186Z,2020-04-06,0,2020-04-07,0.026125,0.1429563120630093
"[{'query': '正崴', 'score': 10, 'category': 'stock', 'num': '2392', 'open': 34.65, 'close': 35, 'change': 0.1, 'change_rate': 0.29, 'change_rate_new': 0.0029}, {'query': '瑞儀', 'score': 8.5, 'category': 'stock', 'num': '6176', 'open': 85.4, 'close': 89.2, 'change': 4.8, 'change_rate': 5.69, 'change_rate_new': 0.056900000000000006}, {'query': '松翰', 'score': 7.75, 'category': 'stock', 'num': '5471', 'open': 44.1, 'close': 43.4, 'change': -0.1, 'change_rate': -0.23, 'change_rate_new': -0.0023}, {'query': '康那香', 'score': 6.5, 'category': 'stock', 'num': '9919', 'open': 19.65, 'close': 19.4, 'change': 0.05, 'change_rate': 0.26, 'change_rate_new': 0.0026}]",2020-04-07T23:01:29.272Z,2020-04-07,1,2020-04-08,0.015025000000000002,0.1601292306517561
"[{'query': '旺宏', 'score': 9.5, 'category': 'stock', 'num': '2337', 'open': 32.5, 'close': 31.2, 'change': -0.2, 'change_rate': -0.64, 'change_rate_new': -0.0064}, {'query': '瑞儀', 'score': 9, 'category': 'stock', 'num': '6176', 'open': 90.1, 'close': 88, 'change': -1.2, 'change_rate': -1.35, 'change_rate_new': -0.013500000000000002}, {'query': '康那香', 'score': 7.5, 'category': 'stock', 'num': '9919', 'open': 19.6, 'close': 19.5, 'change': 0.1, 'change_rate': 0.52, 'change_rate_new': 0.0052}, {'query': '松翰', 'score': 7, 'category': 'stock', 'num': '5471', 'open': 46.1, 'close': 44.05, 'change': 0.65, 'change_rate': 1.5, 'change_rate_new': 0.015}]",2020-04-08T23:01:42.055Z,2020-04-08,2,2020-04-09,7.499999999999955e-05,0.16021624034405502
"[{'query': '旺宏', 'score': 10, 'category': 'stock', 'num': '2337', 'open': 31.2, 'close': 31.25, 'change': 0.05, 'change_rate': 0.16, 'change_rate_new': 0.0016}, {'query': '奇力新', 'score': 8.5, 'category': 'stock', 'num': '2456', 'open': 95.9, 'close': 95.6, 'change': 0.5, 'change_rate': 0.53, 'change_rate_new': 0.0053}, {'query': '瑞儀', 'score': 7.25, 'category': 'stock', 'num': '6176', 'open': 88, 'close': 90.1, 'change': 2.1, 'change_rate': 2.39, 'change_rate_new': 0.0239}, {'query': '松翰', 'score': 6.5, 'category': 'stock', 'num': '5471', 'open': 44.5, 'close': 44.5, 'change': 0.45, 'change_rate': 1.02, 'change_rate_new': 0.0102}]",2020-04-09T23:01:37.800Z,2020-04-09,3,2020-04-10,0.01025,0.1721084568075817
"[{'query': '大宇資', 'score': 9.75, 'category': 'stock', 'num': '6111', 'open': 68.5, 'close': 64.9, 'change': -3.4, 'change_rate': -4.98, 'change_rate_new': -0.049800000000000004}, {'query': '旺宏', 'score': 9, 'category': 'stock', 'num': '2337', 'open': 31.25, 'close': 30.75, 'change': -0.5, 'change_rate': -1.6, 'change_rate_new': -0.016}, {'query': '奇力新', 'score': 7, 'category': 'stock', 'num': '2456', 'open': 95.6, 'close': 94.5, 'change': -1.1, 'change_rate': -1.15, 'change_rate_new': -0.0115}, {'query': '聯電', 'score': 6.75, 'category': 'stock', 'num': '2303', 'open': 14.45, 'close': 14.8, 'change': 0.5, 'change_rate': 3.5, 'change_rate_new': 0.035}]",2020-04-12T23:01:31.351Z,2020-04-12,6,2020-04-13,-0.010574999999999998,0.15971340987684157
"[{'query': '明泰', 'score': 9.75, 'category': 'stock', 'num': '3380', 'open': 20, 'close': 21.05, 'change': 1.05, 'change_rate': 5.25, 'change_rate_new': 0.0525}, {'query': '大宇資', 'score': 7.75, 'category': 'stock', 'num': '6111', 'open': 64.9, 'close': 65.7, 'change': 0.8, 'change_rate': 1.23, 'change_rate_new': 0.0123}, {'query': '聯電', 'score': 7.5, 'category': 'stock', 'num': '2303', 'open': 15.05, 'close': 15.15, 'change': 0.35, 'change_rate': 2.36, 'change_rate_new': 0.0236}, {'query': '台耀', 'score': 5.5, 'category': 'stock', 'num': '4746', 'open': 48.95, 'close': 49, 'change': 0.85, 'change_rate': 1.77, 'change_rate_new': 0.0177}]",2020-04-13T23:04:06.068Z,2020-04-13,0,2020-04-14,0.026525,0.19047480807382478
"[{'query': '明泰', 'score': 9.25, 'category': 'stock', 'num': '3380', 'open': 21.1, 'close': 20.9, 'change': -0.15, 'change_rate': -0.71, 'change_rate_new': -0.0070999999999999995}, {'query': '聯電', 'score': 8, 'category': 'stock', 'num': '2303', 'open': 15.15, 'close': 15.1, 'change': -0.05, 'change_rate': -0.33, 'change_rate_new': -0.0033}, {'query': '網家', 'score': 7.25, 'category': 'stock', 'num': '8044', 'open': 90.5, 'close': 86.6, 'change': -4.4, 'change_rate': -4.84, 'change_rate_new': -0.0484}, {'query': '台耀', 'score': 6.5, 'category': 'stock', 'num': '4746', 'open': 49.3, 'close': 48.25, 'change': -0.75, 'change_rate': -1.53, 'change_rate_new': -0.015300000000000001}]",2020-04-14T23:01:31.745Z,2020-04-14,1,2020-04-15,-0.018525,0.16842126225425713
"[{'query': '網家', 'score': 9, 'category': 'stock', 'num': '8044', 'open': 86.7, 'close': 87.8, 'change': 1.2, 'change_rate': 1.39, 'change_rate_new': 0.0139}, {'query': '柏文', 'score': 8.5, 'category': 'stock', 'num': '8462', 'open': 145.5, 'close': 146, 'change': -2.5, 'change_rate': -1.68, 'change_rate_new': -0.0168}, {'query': '明泰', 'score': 7.5, 'category': 'stock', 'num': '3380', 'open': 20.75, 'close': 20.85, 'change': -0.05, 'change_rate': -0.24, 'change_rate_new': -0.0024}, {'query': '聯電', 'score': 7, 'category': 'stock', 'num': '2303', 'open': 14.85, 'close': 14.9, 'change': -0.2, 'change_rate': -1.32, 'change_rate_new': -0.0132}]",2020-04-15T23:01:50.200Z,2020-04-15,2,2020-04-16,-0.004625,0.16301731391633112
"[{'query': '晶豪科', 'score': 8.75, 'category': 'stock', 'num': '3006', 'open': 36.6, 'close': 35.8, 'change': -0.05, 'change_rate': -0.14, 'change_rate_new': -0.0014000000000000002}, {'query': '聯電', 'score': 8.25, 'category': 'stock', 'num': '2303', 'open': 15.2, 'close': 15.05, 'change': 0.15, 'change_rate': 1.01, 'change_rate_new': 0.0101}, {'query': '明泰', 'score': 7.75, 'category': 'stock', 'num': '3380', 'open': 21.5, 'close': 20.55, 'change': -0.3, 'change_rate': -1.44, 'change_rate_new': -0.0144}, {'query': '柏文', 'score': 7.5, 'category': 'stock', 'num': '8462', 'open': 151, 'close': 144, 'change': -2, 'change_rate': -1.37, 'change_rate_new': -0.0137}]",2020-04-16T23:01:45.926Z,2020-04-16,3,2020-04-17,-0.00485,0.15737667994383697
"[{'query': '定穎', 'score': 9.75, 'category': 'stock', 'num': '6251', 'open': 19.5, 'close': 20.4, 'change': 1.85, 'change_rate': 9.97, 'change_rate_new': 0.09970000000000001}, {'query': '巨大', 'score': 9.25, 'category': 'stock', 'num': '9921', 'open': 145, 'close': 148, 'change': 6.5, 'change_rate': 4.59, 'change_rate_new': 0.045899999999999996}, {'query': '明泰', 'score': 7, 'category': 'stock', 'num': '3380', 'open': 20.5, 'close': 20.95, 'change': 0.4, 'change_rate': 1.95, 'change_rate_new': 0.0195}, {'query': '晶技', 'score': 6.25, 'category': 'stock', 'num': '5472', 'open': 64.4, 'close': 67.5, 'change': 4.9, 'change_rate': 7.83, 'change_rate_new': 0.0783}]",2020-04-19T23:02:21.601Z,2020-04-19,6,2020-04-20,0.06085,0.22780305091841946
"[{'query': '定穎', 'score': 9.25, 'category': 'stock', 'num': '6251', 'open': 20.55, 'close': 19.95, 'change': -0.45, 'change_rate': -2.21, 'change_rate_new': -0.022099999999999998}, {'query': '力山', 'score': 9.25, 'category': 'stock', 'num': '1515', 'open': 66.9, 'close': 64.1, 'change': -2.4, 'change_rate': -3.61, 'change_rate_new': -0.0361}, {'query': '合一', 'score': 7.25, 'category': 'stock', 'num': '4743', 'open': 46.1, 'close': 46.1, 'change': 4.15, 'change_rate': 9.89, 'change_rate_new': 0.0989}, {'query': '巨大', 'score': 7, 'category': 'stock', 'num': '9921', 'open': 146, 'close': 143.5, 'change': -4.5, 'change_rate': -3.04, 'change_rate_new': -0.0304}]",2020-04-20T23:04:24.231Z,2020-04-20,0,2020-04-21,0.002575,0.2309646437745343
"[{'query': '合一', 'score': 9.5, 'category': 'stock', 'num': '4743', 'open': 45.55, 'close': 47, 'change': 0.9, 'change_rate': 1.95, 'change_rate_new': 0.0195}, {'query': '定穎', 'score': 8.75, 'category': 'stock', 'num': '6251', 'open': 19.65, 'close': 19.5, 'change': -0.45, 'change_rate': -2.26, 'change_rate_new': -0.0226}, {'query': '矽統', 'score': 7.25, 'category': 'stock', 'num': '2363', 'open': 10.85, 'close': 10.85, 'change': -0.25, 'change_rate': -2.25, 'change_rate_new': -0.0225}, {'query': '巨大', 'score': 6.5, 'category': 'stock', 'num': '9921', 'open': 142, 'close': 147.5, 'change': 4, 'change_rate': 2.79, 'change_rate_new': 0.0279}]",2020-04-21T23:02:22.093Z,2020-04-21,1,2020-04-22,0.0005750000000000009,0.23167244844470458
"[{'query': '定穎', 'score': 9.5, 'category': 'stock', 'num': '6251', 'open': 19.7, 'close': 19.9, 'change': 0.4, 'change_rate': 2.05, 'change_rate_new': 0.020499999999999997}, {'query': '台勝科', 'score': 8.75, 'category': 'stock', 'num': '3532', 'open': 143, 'close': 139, 'change': 0, 'change_rate': 0, 'change_rate_new': 0.0}, {'query': '合一', 'score': 7.75, 'category': 'stock', 'num': '4743', 'open': 47.1, 'close': 51.7, 'change': 4.7, 'change_rate': 10, 'change_rate_new': 0.1}, {'query': '巨大', 'score': 7.5, 'category': 'stock', 'num': '9921', 'open': 148, 'close': 150.5, 'change': 3, 'change_rate': 2.03, 'change_rate_new': 0.0203}]",2020-04-22T23:02:26.713Z,2020-04-22,2,2020-04-23,0.035199999999999995,0.2750273186299581
"[{'query': '定穎', 'score': 8.25, 'category': 'stock', 'num': '6251', 'open': 19.55, 'close': 19.6, 'change': -0.3, 'change_rate': -1.51, 'change_rate_new': -0.0151}, {'query': '合一', 'score': 8.25, 'category': 'stock', 'num': '4743', 'open': 53.1, 'close': 55.1, 'change': 3.4, 'change_rate': 6.58, 'change_rate_new': 0.0658}, {'query': '寶齡富錦', 'score': 8, 'category': 'stock'}, {'query': '巨大', 'score': 6.75, 'category': 'stock', 'num': '9921', 'open': 148, 'close': 150.5, 'change': 0, 'change_rate': 0, 'change_rate_new': 0.0}]",2020-04-23T23:02:20.039Z,2020-04-23,3,2020-04-24,0.0169,0.2965752803148043
"[{'query': '寶齡富錦', 'score': 10, 'category': 'stock'}, {'query': '強茂', 'score': 7.75, 'category': 'stock', 'num': '5422', 'open': 24, 'close': 23.85, 'change': 0.15, 'change_rate': 0.63, 'change_rate_new': 0.0063}, {'query': '敏成', 'score': 7.75, 'category': 'stock', 'num': '4431', 'open': 88.01, 'close': 162.5, 'change': 44.01, 'change_rate': 50.01, 'change_rate_new': 0.5001}, {'query': 'ABC-KY', 'score': 6.75, 'category': 'stock'}]",2020-04-26T23:02:01.898Z,2020-04-26,6,2020-04-27,0.2532,0.6248681412905128
"[{'query': '敏成', 'score': 9.25, 'category': 'stock', 'num': '4431', 'open': 132.02, 'close': 145.5, 'change': 21.08, 'change_rate': 15.97, 'change_rate_new': 0.1597}, {'query': '晶電', 'score': 7.75, 'category': 'stock', 'num': '2448', 'open': 40.4, 'close': 39.35, 'change': -0.9, 'change_rate': -2.24, 'change_rate_new': -0.022400000000000003}, {'query': '寶齡富錦', 'score': 7.5, 'category': 'stock'}, {'query': '強茂', 'score': 6.5, 'category': 'stock', 'num': '5422', 'open': 23.85, 'close': 24.15, 'change': 0.3, 'change_rate': 1.26, 'change_rate_new': 0.0126}]",2020-04-27T23:01:58.901Z,2020-04-27,0,2020-04-28,0.049966666666666666,0.7060573860836621
"[{'query': '敏成', 'score': 9.25, 'category': 'stock', 'num': '4431', 'open': 153.1, 'close': 153.5, 'change': -5.41, 'change_rate': -3.53, 'change_rate_new': -0.0353}, {'query': '康那香', 'score': 9, 'category': 'stock', 'num': '9919', 'open': 26.5, 'close': 27.9, 'change': 2.5, 'change_rate': 9.84, 'change_rate_new': 0.0984}, {'query': '台康生技', 'score': 8, 'category': 'stock'}, {'query': '強茂', 'score': 6.75, 'category': 'stock', 'num': '5422', 'open': 24.5, 'close': 24.4, 'change': 0.25, 'change_rate': 1.04, 'change_rate_new': 0.0104}]",2020-04-28T23:01:59.753Z,2020-04-28,1,2020-04-29,0.024500000000000004,0.7478557920427118
"[{'query': '康那香', 'score': 9.75, 'category': 'stock', 'num': '9919', 'open': 30.6, 'close': 30.65, 'change': 2.75, 'change_rate': 9.86, 'change_rate_new': 0.0986}, {'query': '盛弘', 'score': 8.75, 'category': 'stock', 'num': '8403', 'open': 45.65, 'close': 46.3, 'change': 1.95, 'change_rate': 4.4, 'change_rate_new': 0.044000000000000004}, {'query': '台康生技', 'score': 8.5, 'category': 'stock'}, {'query': '敏成', 'score': 7, 'category': 'stock', 'num': '4431', 'open': 147.69, 'close': 150.5, 'change': 2.07, 'change_rate': 1.4, 'change_rate_new': 0.013999999999999999}]",2020-04-29T23:02:13.278Z,2020-04-29,2,2020-04-30,0.0522,0.8390938643873413
"[{'query': '康那香', 'score': 9.5, 'category': 'stock', 'num': '9919', 'open': 33.7, 'close': 33.7, 'change': 3.05, 'change_rate': 9.95, 'change_rate_new': 0.09949999999999999}, {'query': '正新', 'score': 7.75, 'category': 'stock', 'num': '2105', 'open': 33.4, 'close': 34.1, 'change': -0.45, 'change_rate': -1.3, 'change_rate_new': -0.013000000000000001}, {'query': '盛弘', 'score': 7.5, 'category': 'stock', 'num': '8403', 'open': 45.3, 'close': 50.9, 'change': 4.6, 'change_rate': 9.94, 'change_rate_new': 0.09939999999999999}, {'query': '新麗', 'score': 7, 'category': 'stock', 'num': '9944', 'open': 22.6, 'close': 22.9, 'change': 0.35, 'change_rate': 1.55, 'change_rate_new': 0.0155}]",2020-05-03T23:01:46.916Z,2020-05-03,6,2020-05-04,0.05034999999999999,0.9316922404592438
"[{'query': '康那香', 'score': 8.75, 'category': 'stock', 'num': '9919', 'open': 37.05, 'close': 37.05, 'change': 3.35, 'change_rate': 9.94, 'change_rate_new': 0.09939999999999999}, {'query': '盛弘', 'score': 7.5, 'category': 'stock', 'num': '8403', 'open': 50.6, 'close': 50.1, 'change': -0.8, 'change_rate': -1.57, 'change_rate_new': -0.015700000000000002}, {'query': '日揚', 'score': 7.25, 'category': 'stock', 'num': '6208', 'open': 24.3, 'close': 24.6, 'change': 0.3, 'change_rate': 1.23, 'change_rate_new': 0.0123}, {'query': '新麗', 'score': 7.25, 'category': 'stock', 'num': '9944', 'open': 23.05, 'close': 23.7, 'change': 0.8, 'change_rate': 3.49, 'change_rate_new': 0.0349}]",2020-05-04T23:01:47.578Z,2020-05-04,0,2020-05-05,0.032725,0.9949068690282723
"[{'query': '台燿', 'score': 9.5, 'category': 'stock', 'num': '6274', 'open': 141, 'close': 142.5, 'change': 2, 'change_rate': 1.42, 'change_rate_new': 0.014199999999999999}, {'query': '鈺太', 'score': 9.25, 'category': 'stock'}, {'query': '新麗', 'score': 7.25, 'category': 'stock', 'num': '9944', 'open': 24.3, 'close': 24.5, 'change': 0.8, 'change_rate': 3.38, 'change_rate_new': 0.0338}, {'query': '日揚', 'score': 7, 'category': 'stock', 'num': '6208', 'open': 24.9, 'close': 24.8, 'change': 0.2, 'change_rate': 0.81, 'change_rate_new': 0.008100000000000001}]",2020-05-05T23:01:53.911Z,2020-05-05,1,2020-05-06,0.018699999999999998,1.032211627479101
