data,time,real_time,timesplit,hour,weekday,price_date,all_return,c_return
"[{'query': '統一FANG+', 'score': 9.5, 'category': 'stock', 'num': '00757', 'change_rate': -4.74, 'change_rate_new': -0.047400000000000005, 'open': 19.28, 'close': 19.09, 'change_rate_today': -0.00985477178423243}, {'query': '神盾', 'score': 8.25, 'category': 'stock', 'num': '6462', 'change_rate': 0.37, 'change_rate_new': 0.0037, 'open': 131, 'close': 134, 'change_rate_today': 0.022900763358778626}, {'query': '毛寶', 'score': 8.25, 'category': 'stock', 'num': '1732', 'change_rate': 9.26, 'change_rate_new': 0.0926, 'open': 29, 'close': 30.1, 'change_rate_today': 0.03793103448275867}, {'query': '超眾', 'score': 6.75, 'category': 'stock', 'num': '6230', 'change_rate': 2.58, 'change_rate_new': 0.0258, 'open': 209, 'close': 219, 'change_rate_today': 0.04784688995215311}]",2020-03-23T00:01:47.900Z,2020-03-23 08:01:47.900,2020-03-23,8,0,2020-03-23,0.024705979002364493,0.024705979002364493
"[{'query': '統一FANG+', 'score': 10, 'category': 'stock', 'num': '00757', 'change_rate': 9.06, 'change_rate_new': 0.0906, 'open': 20.58, 'close': 20.82, 'change_rate_today': 0.011661807580175024}, {'query': '毛寶', 'score': 8.5, 'category': 'stock', 'num': '1732', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 30.7, 'close': 29.8, 'change_rate_today': -0.02931596091205207}, {'query': '神盾', 'score': 8, 'category': 'stock', 'num': '6462', 'change_rate': 6.34, 'change_rate_new': 0.0634, 'open': 142, 'close': 142.5, 'change_rate_today': 0.0035211267605633804}, {'query': '超眾', 'score': 7.5, 'category': 'stock', 'num': '6230', 'change_rate': 2.74, 'change_rate_new': 0.0274, 'open': 224, 'close': 225, 'change_rate_today': 0.004464285714285714}]",2020-03-24T00:01:57.377Z,2020-03-24 08:01:57.377,2020-03-24,8,1,2020-03-24,-0.0024171852142569877,0.022229074860959264
"[{'query': '統一FANG+', 'score': 9.75, 'category': 'stock', 'num': '00757', 'change_rate': 3.36, 'change_rate_new': 0.0336, 'open': 22.95, 'close': 21.52, 'change_rate_today': -0.06230936819172112}, {'query': '昇達科', 'score': 8.25, 'category': 'stock', 'num': '3491', 'change_rate': 4.1, 'change_rate_new': 0.040999999999999995, 'open': 65.5, 'close': 66, 'change_rate_today': 0.007633587786259542}, {'query': '毛寶', 'score': 7.75, 'category': 'stock', 'num': '1732', 'change_rate': -1.34, 'change_rate_new': -0.0134, 'open': 30.3, 'close': 29.4, 'change_rate_today': -0.02970297029702977}, {'query': '街口S&P布蘭特正2', 'score': 7, 'category': 'stock', 'num': '00715L', 'change_rate': 1.91, 'change_rate_new': 0.0191, 'open': 4.18, 'close': 4.26, 'change_rate_today': 0.01913875598086126}]",2020-03-25T00:01:58.052Z,2020-03-25 08:01:58.052,2020-03-25,8,2,2020-03-25,-0.01630999868040752,0.005556519998902942
"[{'query': '街口S&P布蘭特正2', 'score': 9.75, 'category': 'stock', 'num': '00715L', 'change_rate': -7.98, 'change_rate_new': -0.07980000000000001, 'open': 4.22, 'close': 3.92, 'change_rate_today': -0.07109004739336489}, {'query': '統一FANG+', 'score': 9.25, 'category': 'stock', 'num': '00757', 'change_rate': -0.23, 'change_rate_new': -0.0023, 'open': 21.6, 'close': 21.47, 'change_rate_today': -0.0060185185185186365}, {'query': '復盛應用', 'score': 7.5, 'category': 'stock', 'num': '6670', 'change_rate': 1.29, 'change_rate_new': 0.0129, 'open': 156, 'close': 157, 'change_rate_today': 0.00641025641025641}, {'query': '元大台灣50正2', 'score': 5.75, 'category': 'stock', 'num': '00631L', 'change_rate': 2.66, 'change_rate_new': 0.026600000000000002, 'open': 34.1, 'close': 34.3, 'change_rate_today': 0.005865102639296063}]",2020-03-26T00:01:50.245Z,2020-03-26 08:01:50.245,2020-03-26,8,3,2020-03-26,-0.01620830171558276,-0.01074184346931073
"[{'query': '街口S&P布蘭特正2', 'score': 10, 'category': 'stock', 'num': '00715L', 'change_rate': -3.57, 'change_rate_new': -0.035699999999999996, 'open': 3.6, 'close': 3.78, 'change_rate_today': 0.04999999999999992}, {'query': '統一FANG+', 'score': 8.75, 'category': 'stock', 'num': '00757', 'change_rate': 1.02, 'change_rate_new': 0.0102, 'open': 22.29, 'close': 21.69, 'change_rate_today': -0.026917900403768413}, {'query': '元大台灣50正2', 'score': 7.5, 'category': 'stock', 'num': '00631L', 'change_rate': -0.9, 'change_rate_new': -0.009000000000000001, 'open': 35.85, 'close': 33.99, 'change_rate_today': -0.0518828451882845}, {'query': '復盛應用', 'score': 6.25, 'category': 'stock', 'num': '6670', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 159, 'close': 157, 'change_rate_today': -0.012578616352201259}]",2020-03-27T00:01:46.601Z,2020-03-27 08:01:46.601,2020-03-27,8,4,2020-03-27,-0.010344840486063564,-0.02097556129815803
"[{'query': '健亞', 'score': 9.75, 'category': 'stock', 'num': '4130', 'change_rate': 6.07, 'change_rate_new': 0.060700000000000004, 'open': 29, 'close': 30.6, 'change_rate_today': 0.055172413793103496}, {'query': '元大台灣50正2', 'score': 8, 'category': 'stock', 'num': '00631L', 'change_rate': -0.85, 'change_rate_new': -0.0085, 'open': 32.49, 'close': 33.7, 'change_rate_today': 0.037242228377962476}, {'query': '旭富', 'score': 7.5, 'category': 'stock', 'num': '4119', 'change_rate': 3.03, 'change_rate_new': 0.030299999999999997, 'open': 134, 'close': 136, 'change_rate_today': 0.014925373134328358}, {'query': '和碩', 'score': 7, 'category': 'stock', 'num': '4938', 'change_rate': -1.33, 'change_rate_new': -0.013300000000000001, 'open': 58.5, 'close': 59.3, 'change_rate_today': 0.013675213675213627}]",2020-03-30T00:03:45.476Z,2020-03-30 08:03:45.476,2020-03-30,8,0,2020-03-30,0.03025380724515199,0.008643655358620439
"[{'query': '宏碁', 'score': 9.25, 'category': 'stock', 'num': '2353', 'change_rate': -3.7, 'change_rate_new': -0.037000000000000005, 'open': 16.2, 'close': 15.6, 'change_rate_today': -0.037037037037037014}, {'query': '健亞', 'score': 7.5, 'category': 'stock', 'num': '4130', 'change_rate': -6.54, 'change_rate_new': -0.0654, 'open': 29.5, 'close': 28.6, 'change_rate_today': -0.03050847457627114}, {'query': '緯創', 'score': 7.25, 'category': 'stock', 'num': '3231', 'change_rate': 2.73, 'change_rate_new': 0.0273, 'open': 24.05, 'close': 24.5, 'change_rate_today': 0.01871101871101868}, {'query': '元大台灣50正2', 'score': 6.5, 'category': 'stock', 'num': '00631L', 'change_rate': 0.71, 'change_rate_new': 0.0070999999999999995, 'open': 34.6, 'close': 33.94, 'change_rate_today': -0.019075144508670625}]",2020-03-31T00:02:05.797Z,2020-03-31 08:02:05.797,2020-03-31,8,1,2020-03-31,-0.016977409352740024,-0.00848050086944696
"[{'query': '王品', 'score': 9.75, 'category': 'stock', 'num': '2727', 'change_rate': -4.54, 'change_rate_new': -0.0454, 'open': 62.8, 'close': 61, 'change_rate_today': -0.02866242038216556}, {'query': '宏碁', 'score': 8.75, 'category': 'stock', 'num': '2353', 'change_rate': 0.32, 'change_rate_new': 0.0032, 'open': 15.75, 'close': 15.65, 'change_rate_today': -0.006349206349206327}, {'query': '技嘉', 'score': 6.75, 'category': 'stock', 'num': '2376', 'change_rate': 2.94, 'change_rate_new': 0.0294, 'open': 50.9, 'close': 52.5, 'change_rate_today': 0.031434184675834996}, {'query': '健亞', 'score': 6.5, 'category': 'stock', 'num': '4130', 'change_rate': 3.67, 'change_rate_new': 0.036699999999999997, 'open': 29, 'close': 29.65, 'change_rate_today': 0.022413793103448227}]",2020-04-01T00:01:49.192Z,2020-04-01 08:01:49.192,2020-04-01,8,2,2020-04-01,0.004709087761977835,-0.0038113485303289396
"[{'query': '潤泰新', 'score': 9.75, 'category': 'stock', 'num': '9945', 'change_rate': -0.12, 'change_rate_new': -0.0012, 'open': 42.5, 'close': 41.95, 'change_rate_today': -0.012941176470588168}, {'query': '立積', 'score': 8.25, 'category': 'stock', 'num': '4968', 'change_rate': 6.56, 'change_rate_new': 0.06559999999999999, 'open': 133.5, 'close': 138, 'change_rate_today': 0.033707865168539325}, {'query': '王品', 'score': 7.75, 'category': 'stock', 'num': '2727', 'change_rate': -1.64, 'change_rate_new': -0.016399999999999998, 'open': 61, 'close': 60, 'change_rate_today': -0.01639344262295082}, {'query': '裕隆', 'score': 7.75, 'category': 'stock', 'num': '2201', 'change_rate': 4.71, 'change_rate_new': 0.0471, 'open': 14.95, 'close': 15.55, 'change_rate_today': 0.040133779264214145}]",2020-04-06T00:04:45.887Z,2020-04-06 08:04:45.887,2020-04-06,8,0,2020-04-06,0.01112675633480362,0.007272999858070728
"[{'query': '正崴', 'score': 9.25, 'category': 'stock', 'num': '2392', 'change_rate': 6.56, 'change_rate_new': 0.06559999999999999, 'open': 34.2, 'close': 34.9, 'change_rate_today': 0.020467836257309815}, {'query': '松翰', 'score': 8.25, 'category': 'stock', 'num': '5471', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 44.95, 'close': 43.5, 'change_rate_today': -0.032258064516129094}, {'query': '瑞儀', 'score': 7.5, 'category': 'stock', 'num': '6176', 'change_rate': 5.9, 'change_rate_new': 0.059000000000000004, 'open': 81.2, 'close': 84.4, 'change_rate_today': 0.03940886699507393}, {'query': '潤泰新', 'score': 7, 'category': 'stock', 'num': '9945', 'change_rate': -1.55, 'change_rate_new': -0.0155, 'open': 42, 'close': 41.3, 'change_rate_today': -0.016666666666666736}]",2020-04-07T00:01:29.548Z,2020-04-07 08:01:29.548,2020-04-07,8,1,2020-04-07,0.002737993017396978,0.010030906298294617
"[{'query': '正崴', 'score': 10, 'category': 'stock', 'num': '2392', 'change_rate': 0.29, 'change_rate_new': 0.0029, 'open': 34.65, 'close': 35, 'change_rate_today': 0.010101010101010142}, {'query': '瑞儀', 'score': 8.5, 'category': 'stock', 'num': '6176', 'change_rate': 5.69, 'change_rate_new': 0.056900000000000006, 'open': 85.4, 'close': 89.2, 'change_rate_today': 0.044496487119437905}, {'query': '松翰', 'score': 7.75, 'category': 'stock', 'num': '5471', 'change_rate': -0.23, 'change_rate_new': -0.0023, 'open': 44.1, 'close': 43.4, 'change_rate_today': -0.015873015873015938}, {'query': '康那香', 'score': 6.5, 'category': 'stock', 'num': '9919', 'change_rate': 0.26, 'change_rate_new': 0.0026, 'open': 19.65, 'close': 19.4, 'change_rate_today': -0.012722646310432571}]",2020-04-08T00:01:28.538Z,2020-04-08 08:01:28.538,2020-04-08,8,2,2020-04-08,0.006500458759249882,0.01659657055025443
"[{'query': '旺宏', 'score': 9.5, 'category': 'stock', 'num': '2337', 'change_rate': -0.64, 'change_rate_new': -0.0064, 'open': 32.5, 'close': 31.2, 'change_rate_today': -0.04000000000000002}, {'query': '瑞儀', 'score': 9, 'category': 'stock', 'num': '6176', 'change_rate': -1.35, 'change_rate_new': -0.013500000000000002, 'open': 90.1, 'close': 88, 'change_rate_today': -0.023307436182019917}, {'query': '康那香', 'score': 7.5, 'category': 'stock', 'num': '9919', 'change_rate': 0.52, 'change_rate_new': 0.0052, 'open': 19.6, 'close': 19.5, 'change_rate_today': -0.005102040816326603}, {'query': '松翰', 'score': 7, 'category': 'stock', 'num': '5471', 'change_rate': 1.5, 'change_rate_new': 0.015, 'open': 46.1, 'close': 44.05, 'change_rate_today': -0.044468546637744126}]",2020-04-09T00:02:47.098Z,2020-04-09 08:02:47.098,2020-04-09,8,3,2020-04-09,-0.02821950590902267,-0.01209128237948065
"[{'query': '旺宏', 'score': 10, 'category': 'stock', 'num': '2337', 'change_rate': 0.16, 'change_rate_new': 0.0016, 'open': 31.2, 'close': 31.25, 'change_rate_today': 0.0016025641025641253}, {'query': '奇力新', 'score': 8.5, 'category': 'stock', 'num': '2456', 'change_rate': 0.53, 'change_rate_new': 0.0053, 'open': 95.9, 'close': 95.6, 'change_rate_today': -0.003128258602711276}, {'query': '瑞儀', 'score': 7.25, 'category': 'stock', 'num': '6176', 'change_rate': 2.39, 'change_rate_new': 0.0239, 'open': 88, 'close': 90.1, 'change_rate_today': 0.0238636363636363}, {'query': '松翰', 'score': 6.5, 'category': 'stock', 'num': '5471', 'change_rate': 1.02, 'change_rate_new': 0.0102, 'open': 44.5, 'close': 44.5, 'change_rate_today': 0.0}]",2020-04-10T00:01:37.315Z,2020-04-10 08:01:37.315,2020-04-10,8,4,2020-04-10,0.005584485465872287,-0.006574320504320386
"[{'query': '大宇資', 'score': 10, 'category': 'stock', 'num': '6111', 'change_rate': -4.98, 'change_rate_new': -0.049800000000000004, 'open': 68.5, 'close': 64.9, 'change_rate_today': -0.05255474452554736}, {'query': '旺宏', 'score': 9, 'category': 'stock', 'num': '2337', 'change_rate': -1.6, 'change_rate_new': -0.016, 'open': 31.25, 'close': 30.75, 'change_rate_today': -0.016}, {'query': '奇力新', 'score': 7, 'category': 'stock', 'num': '2456', 'change_rate': -1.15, 'change_rate_new': -0.0115, 'open': 95.6, 'close': 94.5, 'change_rate_today': -0.011506276150627557}, {'query': '聯電', 'score': 7, 'category': 'stock', 'num': '2303', 'change_rate': 3.5, 'change_rate_new': 0.035, 'open': 14.45, 'close': 14.8, 'change_rate_today': 0.024221453287197332}]",2020-04-13T00:01:32.188Z,2020-04-13 08:01:32.188,2020-04-13,8,0,2020-04-13,-0.013959891847244396,-0.020442435548355342
"[{'query': '明泰', 'score': 9.75, 'category': 'stock', 'num': '3380', 'change_rate': 5.25, 'change_rate_new': 0.0525, 'open': 20, 'close': 21.05, 'change_rate_today': 0.05250000000000003}, {'query': '大宇資', 'score': 7.75, 'category': 'stock', 'num': '6111', 'change_rate': 1.23, 'change_rate_new': 0.0123, 'open': 64.9, 'close': 65.7, 'change_rate_today': 0.01232665639445296}, {'query': '聯電', 'score': 7.5, 'category': 'stock', 'num': '2303', 'change_rate': 2.36, 'change_rate_new': 0.0236, 'open': 15.05, 'close': 15.15, 'change_rate_today': 0.006644518272425225}, {'query': '台耀', 'score': 6.5, 'category': 'stock', 'num': '4746', 'change_rate': 1.77, 'change_rate_new': 0.0177, 'open': 48.95, 'close': 49, 'change_rate_today': 0.0010214504596526488}]",2020-04-14T00:01:38.683Z,2020-04-14 08:01:38.683,2020-04-14,8,1,2020-04-14,0.018123156281632715,-0.0026897607209427354
"[{'query': '明泰', 'score': 9.25, 'category': 'stock', 'num': '3380', 'change_rate': -0.71, 'change_rate_new': -0.0070999999999999995, 'open': 21.1, 'close': 20.9, 'change_rate_today': -0.009478672985782125}, {'query': '聯電', 'score': 8, 'category': 'stock', 'num': '2303', 'change_rate': -0.33, 'change_rate_new': -0.0033, 'open': 15.15, 'close': 15.1, 'change_rate_today': -0.003300330033003347}, {'query': '網家', 'score': 7.25, 'category': 'stock', 'num': '8044', 'change_rate': -4.84, 'change_rate_new': -0.0484, 'open': 90.5, 'close': 86.6, 'change_rate_today': -0.043093922651933764}, {'query': '台耀', 'score': 6.5, 'category': 'stock', 'num': '4746', 'change_rate': -1.53, 'change_rate_new': -0.015300000000000001, 'open': 49.3, 'close': 48.25, 'change_rate_today': -0.021298174442190614}]",2020-04-15T00:01:31.314Z,2020-04-15 08:01:31.314,2020-04-15,8,2,2020-04-15,-0.01929277502822746,-0.02193064280070134
"[{'query': '網家', 'score': 9, 'category': 'stock', 'num': '8044', 'change_rate': 1.39, 'change_rate_new': 0.0139, 'open': 86.7, 'close': 87.8, 'change_rate_today': 0.01268742791234134}, {'query': '柏文', 'score': 8.5, 'category': 'stock', 'num': '8462', 'change_rate': -1.68, 'change_rate_new': -0.0168, 'open': 145.5, 'close': 146, 'change_rate_today': 0.003436426116838488}, {'query': '明泰', 'score': 7.5, 'category': 'stock', 'num': '3380', 'change_rate': -0.24, 'change_rate_new': -0.0024, 'open': 20.75, 'close': 20.85, 'change_rate_today': 0.004819277108433803}, {'query': '聯電', 'score': 7, 'category': 'stock', 'num': '2303', 'change_rate': -1.32, 'change_rate_new': -0.0132, 'open': 14.85, 'close': 14.9, 'change_rate_today': 0.003367003367003415}]",2020-04-16T00:01:49.190Z,2020-04-16 08:01:49.190,2020-04-16,8,3,2020-04-16,0.006077533626154262,-0.01598639339361152
"[{'query': '晶豪科', 'score': 8.75, 'category': 'stock', 'num': '3006', 'change_rate': -0.14, 'change_rate_new': -0.0014000000000000002, 'open': 36.6, 'close': 35.8, 'change_rate_today': -0.021857923497267874}, {'query': '聯電', 'score': 8.5, 'category': 'stock', 'num': '2303', 'change_rate': 1.01, 'change_rate_new': 0.0101, 'open': 15.2, 'close': 15.05, 'change_rate_today': -0.009868421052631486}, {'query': '柏文', 'score': 7.5, 'category': 'stock', 'num': '8462', 'change_rate': -1.37, 'change_rate_new': -0.0137, 'open': 151, 'close': 144, 'change_rate_today': -0.046357615894039736}, {'query': '明泰', 'score': 7, 'category': 'stock', 'num': '3380', 'change_rate': -1.44, 'change_rate_new': -0.0144, 'open': 21.5, 'close': 20.55, 'change_rate_today': -0.04418604651162787}]",2020-04-17T00:01:49.001Z,2020-04-17 08:01:49.001,2020-04-17,8,4,2020-04-17,-0.03056750173889174,-0.04606523102464544
"[{'query': '定穎', 'score': 9.75, 'category': 'stock', 'num': '6251', 'change_rate': 9.97, 'change_rate_new': 0.09970000000000001, 'open': 19.5, 'close': 20.4, 'change_rate_today': 0.04615384615384608}, {'query': '巨大', 'score': 9.25, 'category': 'stock', 'num': '9921', 'change_rate': 4.59, 'change_rate_new': 0.045899999999999996, 'open': 145, 'close': 148, 'change_rate_today': 0.020689655172413793}, {'query': '明泰', 'score': 7.75, 'category': 'stock', 'num': '3380', 'change_rate': 1.95, 'change_rate_new': 0.0195, 'open': 20.5, 'close': 20.95, 'change_rate_today': 0.021951219512195086}, {'query': '晶技', 'score': 5.5, 'category': 'stock', 'num': '3042', 'change_rate': 7.83, 'change_rate_new': 0.0783, 'open': 64.4, 'close': 67.5, 'change_rate_today': 0.04813664596273283}]",2020-04-20T00:03:33.431Z,2020-04-20 08:03:33.431,2020-04-20,8,0,2020-04-20,0.034232841700296945,-0.013409333085902864
