,data,time,real_time,hour,price_date,str_price_date,all_return,c_return,all_days_std,all_days_mean,all_days_std_year,all_days_sharp_ratio
0,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3296', 'reason': '', 'change_rate': -2.01, 'change_rate_new': -0.020099999999999996, 'open': 15, 'close': 14.65, 'change_rate_today': -0.02333333333333331, 'name': '勝德'}, {'id': '3617', 'reason': '', 'change_rate': 0.23, 'change_rate_new': 0.0023, 'open': 87.3, 'close': 87.5, 'change_rate_today': 0.0022909507445590246, 'name': '碩天'}, {'id': '4725', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.8, 'close': 17.8, 'change_rate_today': 0.0, 'name': '信昌化'}, {'id': '6120', 'reason': '', 'change_rate': -1.27, 'change_rate_new': -0.0127, 'open': 11.8, 'close': 11.65, 'change_rate_today': -0.01271186440677969, 'name': '達運'}, {'id': '2236', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.05, 'close': 16.9, 'change_rate_today': -0.008797653958944406, 'name': '百達-KY'}, {'id': '2323', 'reason': '', 'change_rate': 1.32, 'change_rate_new': 0.0132, 'open': 7.57, 'close': 7.65, 'change_rate_today': 0.010568031704095121, 'name': '中環'}, {'id': '2338', 'reason': '', 'change_rate': 5.73, 'change_rate_new': 0.057300000000000004, 'open': 28.05, 'close': 29.5, 'change_rate_today': 0.05169340463458108, 'name': '光罩'}, {'id': '2506', 'reason': '', 'change_rate': -0.3, 'change_rate_new': -0.003, 'open': 10, 'close': 9.97, 'change_rate_today': -0.002999999999999936, 'name': '太設'}, {'id': '3050', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 9.93, 'close': 9.86, 'change_rate_today': -0.007049345417925507, 'name': '鈺德'}, {'id': '8429', 'reason': '', 'change_rate': -0.34, 'change_rate_new': -0.0034000000000000002, 'open': 8.9, 'close': 8.71, 'change_rate_today': -0.021348314606741515, 'name': '金麗-KY'}, {'id': '3085', 'reason': '', 'change_rate': -0.15, 'change_rate_new': -0.0015, 'open': 6.7, 'close': 6.7, 'change_rate_today': 0.0, 'name': '新零售'}, {'id': '3434', 'reason': '', 'change_rate': 9.96, 'change_rate_new': 0.09960000000000001, 'open': 13.45, 'close': 13.8, 'change_rate_today': 0.026022304832713863, 'name': '哲固'}, {'id': '5276', 'reason': '', 'change_rate': 0.63, 'change_rate_new': 0.0063, 'open': 9.68, 'close': 9.55, 'change_rate_today': -0.0134297520661156, 'name': '達輝-KY'}, {'id': '5348', 'reason': '', 'change_rate': -0.27, 'change_rate_new': -0.0027, 'open': 7.25, 'close': 7.45, 'change_rate_today': 0.027586206896551748, 'name': '系通'}, {'id': '5487', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 34.8, 'close': 34.7, 'change_rate_today': -0.0028735632183906415, 'name': '通泰'}, {'id': '6259', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 2.71, 'close': 2.71, 'change_rate_today': 0.0, 'name': '百徽'}, {'id': '8921', 'reason': '', 'change_rate': 1.08, 'change_rate_new': 0.0108, 'open': 13.95, 'close': 13.95, 'change_rate_today': 0.0, 'name': '沈氏'}, {'id': '5233', 'reason': '', 'change_rate': -3.85, 'change_rate_new': -0.0385, 'open': 25.95, 'close': 24.75, 'change_rate_today': -0.046242774566473965, 'name': '有量'}, {'id': '6027', 'reason': '', 'change_rate': 7.35, 'change_rate_new': 0.0735, 'open': 4.08, 'close': 4.58, 'change_rate_today': 0.12254901960784313, 'name': '德信'}, {'id': '6652', 'reason': '', 'change_rate': 8.27, 'change_rate_new': 0.0827, 'open': 28.29, 'close': 32, 'change_rate_today': 0.13114174620007074, 'name': '雅祥生醫'}, {'id': '6668', 'reason': '', 'change_rate': -2.29, 'change_rate_new': -0.0229, 'open': 70.5, 'close': 68.4, 'change_rate_today': -0.02978723404255311, 'name': '中揚光'}, {'id': '6682', 'reason': '', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 6.55, 'close': 6.45, 'change_rate_today': -0.01526717557251903, 'name': '碩鑽材料'}]}]",2020-07-21 12:17:11.989,2020-07-21 20:17:11.989,20,2020-07-22,2020-07-22,0.008545938792301729,0.008545938792301729,,,,
1,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3296', 'reason': '', 'change_rate': -2.01, 'change_rate_new': -0.020099999999999996, 'open': 15, 'close': 14.65, 'change_rate_today': -0.02333333333333331, 'name': '勝德'}, {'id': '3617', 'reason': '', 'change_rate': 0.23, 'change_rate_new': 0.0023, 'open': 87.3, 'close': 87.5, 'change_rate_today': 0.0022909507445590246, 'name': '碩天'}, {'id': '4725', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.8, 'close': 17.8, 'change_rate_today': 0.0, 'name': '信昌化'}, {'id': '6120', 'reason': '', 'change_rate': -1.27, 'change_rate_new': -0.0127, 'open': 11.8, 'close': 11.65, 'change_rate_today': -0.01271186440677969, 'name': '達運'}, {'id': '2236', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.05, 'close': 16.9, 'change_rate_today': -0.008797653958944406, 'name': '百達-KY'}, {'id': '2323', 'reason': '', 'change_rate': 1.32, 'change_rate_new': 0.0132, 'open': 7.57, 'close': 7.65, 'change_rate_today': 0.010568031704095121, 'name': '中環'}, {'id': '2338', 'reason': '', 'change_rate': 5.73, 'change_rate_new': 0.057300000000000004, 'open': 28.05, 'close': 29.5, 'change_rate_today': 0.05169340463458108, 'name': '光罩'}, {'id': '2506', 'reason': '', 'change_rate': -0.3, 'change_rate_new': -0.003, 'open': 10, 'close': 9.97, 'change_rate_today': -0.002999999999999936, 'name': '太設'}, {'id': '3050', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 9.93, 'close': 9.86, 'change_rate_today': -0.007049345417925507, 'name': '鈺德'}, {'id': '8429', 'reason': '', 'change_rate': -0.34, 'change_rate_new': -0.0034000000000000002, 'open': 8.9, 'close': 8.71, 'change_rate_today': -0.021348314606741515, 'name': '金麗-KY'}, {'id': '3085', 'reason': '', 'change_rate': -0.15, 'change_rate_new': -0.0015, 'open': 6.7, 'close': 6.7, 'change_rate_today': 0.0, 'name': '新零售'}, {'id': '3434', 'reason': '', 'change_rate': 9.96, 'change_rate_new': 0.09960000000000001, 'open': 13.45, 'close': 13.8, 'change_rate_today': 0.026022304832713863, 'name': '哲固'}, {'id': '5276', 'reason': '', 'change_rate': 0.63, 'change_rate_new': 0.0063, 'open': 9.68, 'close': 9.55, 'change_rate_today': -0.0134297520661156, 'name': '達輝-KY'}, {'id': '5348', 'reason': '', 'change_rate': -0.27, 'change_rate_new': -0.0027, 'open': 7.25, 'close': 7.45, 'change_rate_today': 0.027586206896551748, 'name': '系通'}, {'id': '5487', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 34.8, 'close': 34.7, 'change_rate_today': -0.0028735632183906415, 'name': '通泰'}, {'id': '6259', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 2.71, 'close': 2.71, 'change_rate_today': 0.0, 'name': '百徽'}, {'id': '8921', 'reason': '', 'change_rate': 1.08, 'change_rate_new': 0.0108, 'open': 13.95, 'close': 13.95, 'change_rate_today': 0.0, 'name': '沈氏'}, {'id': '5233', 'reason': '', 'change_rate': -3.85, 'change_rate_new': -0.0385, 'open': 25.95, 'close': 24.75, 'change_rate_today': -0.046242774566473965, 'name': '有量'}, {'id': '6027', 'reason': '', 'change_rate': 7.35, 'change_rate_new': 0.0735, 'open': 4.08, 'close': 4.58, 'change_rate_today': 0.12254901960784313, 'name': '德信'}, {'id': '6652', 'reason': '', 'change_rate': 8.27, 'change_rate_new': 0.0827, 'open': 28.29, 'close': 32, 'change_rate_today': 0.13114174620007074, 'name': '雅祥生醫'}, {'id': '6668', 'reason': '', 'change_rate': -2.29, 'change_rate_new': -0.0229, 'open': 70.5, 'close': 68.4, 'change_rate_today': -0.02978723404255311, 'name': '中揚光'}, {'id': '6682', 'reason': '', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 6.55, 'close': 6.45, 'change_rate_today': -0.01526717557251903, 'name': '碩鑽材料'}]}]",2020-07-22 12:18:01.550,2020-07-22 20:18:01.550,20,2020-07-23,2020-07-23,0.008545938792301729,0.008545938792301729,,,,
2,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3296', 'reason': '', 'change_rate': -2.01, 'change_rate_new': -0.020099999999999996, 'open': 15, 'close': 14.65, 'change_rate_today': -0.02333333333333331, 'name': '勝德'}, {'id': '3617', 'reason': '', 'change_rate': 0.23, 'change_rate_new': 0.0023, 'open': 87.3, 'close': 87.5, 'change_rate_today': 0.0022909507445590246, 'name': '碩天'}, {'id': '4725', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.8, 'close': 17.8, 'change_rate_today': 0.0, 'name': '信昌化'}, {'id': '6120', 'reason': '', 'change_rate': -1.27, 'change_rate_new': -0.0127, 'open': 11.8, 'close': 11.65, 'change_rate_today': -0.01271186440677969, 'name': '達運'}, {'id': '2236', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.05, 'close': 16.9, 'change_rate_today': -0.008797653958944406, 'name': '百達-KY'}, {'id': '2323', 'reason': '', 'change_rate': 1.32, 'change_rate_new': 0.0132, 'open': 7.57, 'close': 7.65, 'change_rate_today': 0.010568031704095121, 'name': '中環'}, {'id': '2338', 'reason': '', 'change_rate': 5.73, 'change_rate_new': 0.057300000000000004, 'open': 28.05, 'close': 29.5, 'change_rate_today': 0.05169340463458108, 'name': '光罩'}, {'id': '2506', 'reason': '', 'change_rate': -0.3, 'change_rate_new': -0.003, 'open': 10, 'close': 9.97, 'change_rate_today': -0.002999999999999936, 'name': '太設'}, {'id': '3050', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 9.93, 'close': 9.86, 'change_rate_today': -0.007049345417925507, 'name': '鈺德'}, {'id': '8429', 'reason': '', 'change_rate': -0.34, 'change_rate_new': -0.0034000000000000002, 'open': 8.9, 'close': 8.71, 'change_rate_today': -0.021348314606741515, 'name': '金麗-KY'}, {'id': '3085', 'reason': '', 'change_rate': -0.15, 'change_rate_new': -0.0015, 'open': 6.7, 'close': 6.7, 'change_rate_today': 0.0, 'name': '新零售'}, {'id': '3434', 'reason': '', 'change_rate': 9.96, 'change_rate_new': 0.09960000000000001, 'open': 13.45, 'close': 13.8, 'change_rate_today': 0.026022304832713863, 'name': '哲固'}, {'id': '5276', 'reason': '', 'change_rate': 0.63, 'change_rate_new': 0.0063, 'open': 9.68, 'close': 9.55, 'change_rate_today': -0.0134297520661156, 'name': '達輝-KY'}, {'id': '5348', 'reason': '', 'change_rate': -0.27, 'change_rate_new': -0.0027, 'open': 7.25, 'close': 7.45, 'change_rate_today': 0.027586206896551748, 'name': '系通'}, {'id': '5487', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 34.8, 'close': 34.7, 'change_rate_today': -0.0028735632183906415, 'name': '通泰'}, {'id': '6259', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 2.71, 'close': 2.71, 'change_rate_today': 0.0, 'name': '百徽'}, {'id': '8921', 'reason': '', 'change_rate': 1.08, 'change_rate_new': 0.0108, 'open': 13.95, 'close': 13.95, 'change_rate_today': 0.0, 'name': '沈氏'}, {'id': '5233', 'reason': '', 'change_rate': -3.85, 'change_rate_new': -0.0385, 'open': 25.95, 'close': 24.75, 'change_rate_today': -0.046242774566473965, 'name': '有量'}, {'id': '6027', 'reason': '', 'change_rate': 7.35, 'change_rate_new': 0.0735, 'open': 4.08, 'close': 4.58, 'change_rate_today': 0.12254901960784313, 'name': '德信'}, {'id': '6652', 'reason': '', 'change_rate': 8.27, 'change_rate_new': 0.0827, 'open': 28.29, 'close': 32, 'change_rate_today': 0.13114174620007074, 'name': '雅祥生醫'}, {'id': '6668', 'reason': '', 'change_rate': -2.29, 'change_rate_new': -0.0229, 'open': 70.5, 'close': 68.4, 'change_rate_today': -0.02978723404255311, 'name': '中揚光'}, {'id': '6682', 'reason': '', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 6.55, 'close': 6.45, 'change_rate_today': -0.01526717557251903, 'name': '碩鑽材料'}]}]",2020-07-23 12:17:15.189,2020-07-23 20:17:15.189,20,2020-07-24,2020-07-24,0.008545938792301729,0.008545938792301729,,,,
3,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3296', 'reason': '', 'change_rate': -2.01, 'change_rate_new': -0.020099999999999996, 'open': 15, 'close': 14.65, 'change_rate_today': -0.02333333333333331, 'name': '勝德'}, {'id': '3617', 'reason': '', 'change_rate': 0.23, 'change_rate_new': 0.0023, 'open': 87.3, 'close': 87.5, 'change_rate_today': 0.0022909507445590246, 'name': '碩天'}, {'id': '4725', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.8, 'close': 17.8, 'change_rate_today': 0.0, 'name': '信昌化'}, {'id': '6120', 'reason': '', 'change_rate': -1.27, 'change_rate_new': -0.0127, 'open': 11.8, 'close': 11.65, 'change_rate_today': -0.01271186440677969, 'name': '達運'}, {'id': '2236', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.05, 'close': 16.9, 'change_rate_today': -0.008797653958944406, 'name': '百達-KY'}, {'id': '2323', 'reason': '', 'change_rate': 1.32, 'change_rate_new': 0.0132, 'open': 7.57, 'close': 7.65, 'change_rate_today': 0.010568031704095121, 'name': '中環'}, {'id': '2338', 'reason': '', 'change_rate': 5.73, 'change_rate_new': 0.057300000000000004, 'open': 28.05, 'close': 29.5, 'change_rate_today': 0.05169340463458108, 'name': '光罩'}, {'id': '2506', 'reason': '', 'change_rate': -0.3, 'change_rate_new': -0.003, 'open': 10, 'close': 9.97, 'change_rate_today': -0.002999999999999936, 'name': '太設'}, {'id': '3050', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 9.93, 'close': 9.86, 'change_rate_today': -0.007049345417925507, 'name': '鈺德'}, {'id': '8429', 'reason': '', 'change_rate': -0.34, 'change_rate_new': -0.0034000000000000002, 'open': 8.9, 'close': 8.71, 'change_rate_today': -0.021348314606741515, 'name': '金麗-KY'}, {'id': '3085', 'reason': '', 'change_rate': -0.15, 'change_rate_new': -0.0015, 'open': 6.7, 'close': 6.7, 'change_rate_today': 0.0, 'name': '新零售'}, {'id': '3434', 'reason': '', 'change_rate': 9.96, 'change_rate_new': 0.09960000000000001, 'open': 13.45, 'close': 13.8, 'change_rate_today': 0.026022304832713863, 'name': '哲固'}, {'id': '5276', 'reason': '', 'change_rate': 0.63, 'change_rate_new': 0.0063, 'open': 9.68, 'close': 9.55, 'change_rate_today': -0.0134297520661156, 'name': '達輝-KY'}, {'id': '5348', 'reason': '', 'change_rate': -0.27, 'change_rate_new': -0.0027, 'open': 7.25, 'close': 7.45, 'change_rate_today': 0.027586206896551748, 'name': '系通'}, {'id': '5487', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 34.8, 'close': 34.7, 'change_rate_today': -0.0028735632183906415, 'name': '通泰'}, {'id': '6259', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 2.71, 'close': 2.71, 'change_rate_today': 0.0, 'name': '百徽'}, {'id': '8921', 'reason': '', 'change_rate': 1.08, 'change_rate_new': 0.0108, 'open': 13.95, 'close': 13.95, 'change_rate_today': 0.0, 'name': '沈氏'}, {'id': '5233', 'reason': '', 'change_rate': -3.85, 'change_rate_new': -0.0385, 'open': 25.95, 'close': 24.75, 'change_rate_today': -0.046242774566473965, 'name': '有量'}, {'id': '6027', 'reason': '', 'change_rate': 7.35, 'change_rate_new': 0.0735, 'open': 4.08, 'close': 4.58, 'change_rate_today': 0.12254901960784313, 'name': '德信'}, {'id': '6652', 'reason': '', 'change_rate': 8.27, 'change_rate_new': 0.0827, 'open': 28.29, 'close': 32, 'change_rate_today': 0.13114174620007074, 'name': '雅祥生醫'}, {'id': '6668', 'reason': '', 'change_rate': -2.29, 'change_rate_new': -0.0229, 'open': 70.5, 'close': 68.4, 'change_rate_today': -0.02978723404255311, 'name': '中揚光'}, {'id': '6682', 'reason': '', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 6.55, 'close': 6.45, 'change_rate_today': -0.01526717557251903, 'name': '碩鑽材料'}]}]",2020-07-24 12:17:32.603,2020-07-24 20:17:32.603,20,2020-07-27,2020-07-27,0.008545938792301729,0.008545938792301729,,,,
